Date,Close/Last,Volume,Open,High,Low
11/01/2023,$26.89,3498576,$27.00,$27.27,$26.71
10/31/2023,$26.76,2940913,$26.50,$26.83,$26.13
10/30/2023,$26.48,4704114,$25.70,$26.97,$25.70
10/27/2023,$25.07,3978757,$25.86,$26.40,$24.85
10/26/2023,$25.77,5328245,$26.44,$26.50,$25.36
10/25/2023,$26.79,4960685,$26.47,$27.415,$26.20
10/24/2023,$26.16,9152315,$26.76,$27.05,$25.55
10/23/2023,$24.705,7603579,$24.28,$24.73,$23.92
10/20/2023,$23.64,6243174,$23.00,$23.83,$22.96
10/19/2023,$22.45,3988126,$22.21,$22.96,$22.01
10/18/2023,$22.207,3037814,$22.26,$22.58,$21.916
10/17/2023,$22.16,2773409,$21.85,$22.49,$21.72
10/16/2023,$21.80,8566616,$22.50,$23.51,$21.34
10/13/2023,$20.24,2211994,$20.18,$20.45,$19.955
10/12/2023,$20.02,1591096,$20.08,$20.20,$19.84
10/11/2023,$20.07,2258790,$20.37,$20.49,$19.82
10/10/2023,$20.58,2365279,$20.45,$20.82,$20.36
10/09/2023,$20.50,1873199,$20.30,$20.86,$20.25
10/06/2023,$20.73,1956305,$20.02,$20.84,$20.01
10/05/2023,$20.15,3023861,$20.34,$20.65,$20.15
10/04/2023,$20.14,2814632,$19.85,$20.25,$19.54
10/03/2023,$19.64,2037605,$19.31,$19.684,$19.19
10/02/2023,$19.45,2876237,$20.00,$20.24,$19.34
09/29/2023,$19.19,1384186,$19.02,$19.23,$18.91
09/28/2023,$19.00,2796834,$18.26,$19.21,$18.20
09/27/2023,$18.13,1528710,$18.57,$18.60,$18.10
09/26/2023,$18.17,1587934,$18.35,$18.37,$18.04
09/25/2023,$18.45,1559094,$18.77,$18.775,$18.39
09/22/2023,$18.90,924390,$19.05,$19.10,$18.85
09/21/2023,$19.00,1600548,$19.09,$19.22,$18.80
09/20/2023,$19.42,1851897,$19.88,$19.895,$19.29
